WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,THEATER,NAF,COUNTRY_FLYING_MISSION,TGT_COUNTRY_CODE,TGT_COUNTRY,TGT_LOCATION,TGT_TYPE,TGT_ID,TGT_INDUSTRY_CODE,TGT_INDUSTRY,SOURCE_LATITUDE,SOURCE_LONGITUDE,LATITUDE,LONGITUDE,UNIT_ID,MDS,AIRCRAFT_NAME,MSN_TYPE,TGT_PRIORITY,TGT_PRIORITY_EXPLANATION,AC_ATTACKING,ALTITUDE,ALTITUDE_FEET,NUMBER_OF_HE,TYPE_OF_HE,LBS_HE,TONS_OF_HE,NUMBER_OF_IC,TYPE_OF_IC,LBS_IC,TONS_OF_IC,NUMBER_OF_FRAG,TYPE_OF_FRAG,LBS_FRAG,TONS_OF_FRAG,TOTAL_LBS,TOTAL_TONS,TAKEOFF_BASE,TAKEOFF_COUNTRY,TAKEOFF_LATITUDE,TAKEOFF_LONGITUDE,AC_LOST,AC_DAMAGED,AC_AIRBORNE,AC_DROPPING,TIME_OVER_TARGET,SIGHTING_METHOD_CODE,SIGHTING_EXPLANATION,BDA,CALLSIGN,ROUNDS_AMMO,SPARES_RETURN_AC,WX_FAIL_AC,MECH_FAIL_AC,MISC_FAIL_AC,TARGET_COMMENT,MISSION_COMMENTS,SOURCE,DATABASE_EDIT_COMMENTS
126925,13,7/1/1942,CBI,10 AF,USA,,FRENCH INDO CHINA,HAIPHONG,MAIN DOCK & WAREHOUSE AREA,,,,20.866714,106.657154,20.866714,106.657154,CATF (11 BS),B25,B25,1,,,5,,0,12,500 LB GP (GP-M43/M64),6000,3,24,110 LB  INCENDIARY,2640,1.32,24,17 KG CHINESE,897.6,0.4488,9537.6,4.7688,NANNING,CHINA,22.6081,108.1722,,,5,5,1136,,,,,,,,,,,,,
123785,9,7/1/1942,MTO,9 AF,USA,29,LIBYA,TOBRUK HARBOR,,,710,,32.03527778,23.95083333,32.04,23.95,1ST PROV GRP,B24,B24,,,,8,0,,40,1000 LB GP (GP-M44/M65),,20,,,,0,,,,0,,20,LYDDA,PALESTINE,32.009444,34.882778,,,8,8,,,,,,,,,,,,,,
123789,289722,7/1/1942,ETO,RAF,GREAT BRITAIN,8,GERMANY,KIEL,CITY AREA,21647,2,CITIES TOWNS AND URBAN AREAS,5420,1009,54.33,10.15,,LGT,LIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123790,289723,7/1/1942,ETO,RAF,GREAT BRITAIN,8,GERMANY,KIEL,CITY AREA,21647,2,CITIES TOWNS AND URBAN AREAS,5420,1009,54.33,10.15,,LGT,LIGHT,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,
167282,7881,7/1/1943,PTO,5 AF,USA,,NEW GUINEA,DUALI,UNIDENTIFIED TARGET,,,,710,14705,-7.166666667,147.0833333,89 S,A20,A20,10,1,,6,10,1000,40,100 LB GP (GP-M30),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
167285,9547,7/1/1943,PTO,5 AF,USA,,NEW GUINEA,LOGUI,UNIDENTIFIED TARGET,,,,704,14703,-7.066666667,147.05,498 BS,B25,B25,1,1,,,,0,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
167292,9546,7/1/1943,PTO,5 AF,USA,,NEW GUINEA,LOGUI,UNIDENTIFIED TARGET,,,,704,14703,-7.066666667,147.05,498 BS,B25,B25,1,1,,9,50,40,,250 LB GP (GP-M57),,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
167281,46072,7/1/1943,PTO,13 AF,USA,,SOLOMON ISLANDS,KAHILI,AIRDROME,,,,648,15547,-6.8,155.7833333,72 BS,B24,B24,1,1,,6,56,5600,56,500 LB GP (GP-M43/M64),,14,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
13223,857,7/1/1943,PTO,7 AF,USA,,BISMARK ARCHIPELAGO,CAPE BUSCHING,UNIDENTIFIED TARGET,,,,555,14835,-5.916666667,148.5833333,90 BS,B25,B25,6,1,,3,,0,16,250 LB GP (GP-M57),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
38355,858,7/1/1943,PTO,7 AF,USA,,BISMARK ARCHIPELAGO,CAPE BUSCHING,UNIDENTIFIED TARGET,,,,555,14835,-5.916666667,148.5833333,8 BS,A20,A20,10,1,,12,,0,44,500 LB GP (GP-M43/M64),,11,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
174413,856,7/1/1943,PTO,7 AF,USA,,BISMARK ARCHIPELAGO,CAPE BUSCHING,UNIDENTIFIED TARGET,,,,555,14835,-5.916666667,148.5833333,8 BS,B25,B25,10,1,,,,0,,100 LB GP (GP-M30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167287,28725,7/1/1943,CBI,10 AF,USA,,BURMA,ANDAMAN ISLAND,RAILROAD RADIO STATI,,,,9999,99999,12.5,92.75,9 BS,B24,B24,1,2,,6,155,15500,0,500 LB GP (GP-M43/M64),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167289,,7/1/1943,CBI,RAF,GREAT BRITAIN,,BURMA,PROME-TAUNGUP ROAD/ AKYAB ISLAND,,,,,1849,9513,18.81666667,95.21666667,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167290,32527,7/1/1943,CBI,10 AF,USA,,BURMA,MANDALAY,SHIPPING,,,,2159,9605,21.98333333,96.08333333,22 BS,B25,B25,1,1,,8,80,64,,250 LB GP (GP-M57),,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
167291,30178,7/1/1943,CBI,10 AF,USA,,BURMA,INDAW,RR,,,,2413,9609,24.21666667,96.15,491 BS,B25,B25,1,1,,8,38,64,,250 LB GP (GP-M57),,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
167286,698341,7/1/1943,MTO,RAF,GREAT BRITAIN,39,SICILY,CATANIA,,,,,37.466667,15.063889,37.47,15.06,462ND SQDN,HALI,HALIFAX,,,,4,,0,0,500 LB GP (GP-M43/M64),,,270,4 LB INCENDIARY,,0.54,,,,0,,10.54,OUDNA,TUNISIA,36.649608,10.121936,,,4,4,,,,,,,,,,,,,,
155613,27552,7/1/1944,PTO,7 AF,USA,,SOLOMON ISLANDS,ROTA,CONTROL TOWER REVT A,,,,625,15520,-6.416666667,155.3333333,73 FS,P47,P47,10,1,,12,40,4000,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
155639,10132,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,MATAPAU,UNIDENTIFIED TARGET,,,,540,14530,-5.666666667,145.5,110 FS,P39,P39,10,1,,9,1,100,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155853,10133,7/1/1944,PTO,5 AF,USA,,NEW GUINEA,MATAPAU,UNIDENTIFIED TARGET,,,,540,14530,-5.666666667,145.5,110 FS,P39,P39,10,1,,,,0,4,500 LB GP (GP-M43/M64),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
155589,39671,7/1/1944,PTO,13 AF,USA,,BISMARK ARCHIPELAGO,TOBERA,AA GUN POSITIONS,,,,424,15219,-4.4,152.3166667,100 BS,B25,B25,1,1,,12,98,9800,72,500 LB GP (GP-M43/M64),,18,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
155590,39672,7/1/1944,PTO,13 AF,USA,,BISMARK ARCHIPELAGO,TOBERA,AA GUN POSITIONS,,,,424,15219,-4.4,152.3166667,390 BS,B25,B25,1,1,,11,93,9300,64,500 LB GP (GP-M43/M64),,16,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
