WWII_ID,MASTER_INDEX_NUMBER,MSNDATE,THEATER,NAF,COUNTRY_FLYING_MISSION,TGT_COUNTRY_CODE,TGT_COUNTRY,TGT_LOCATION,TGT_TYPE,TGT_ID,TGT_INDUSTRY_CODE,TGT_INDUSTRY,SOURCE_LATITUDE,SOURCE_LONGITUDE,LATITUDE,LONGITUDE,UNIT_ID,MDS,AIRCRAFT_NAME,MSN_TYPE,TGT_PRIORITY,TGT_PRIORITY_EXPLANATION,AC_ATTACKING,ALTITUDE,ALTITUDE_FEET,NUMBER_OF_HE,TYPE_OF_HE,LBS_HE,TONS_OF_HE,NUMBER_OF_IC,TYPE_OF_IC,LBS_IC,TONS_OF_IC,NUMBER_OF_FRAG,TYPE_OF_FRAG,LBS_FRAG,TONS_OF_FRAG,TOTAL_LBS,TOTAL_TONS,TAKEOFF_BASE,TAKEOFF_COUNTRY,TAKEOFF_LATITUDE,TAKEOFF_LONGITUDE,AC_LOST,AC_DAMAGED,AC_AIRBORNE,AC_DROPPING,TIME_OVER_TARGET,SIGHTING_METHOD_CODE,SIGHTING_EXPLANATION,BDA,CALLSIGN,ROUNDS_AMMO,SPARES_RETURN_AC,WX_FAIL_AC,MECH_FAIL_AC,MISC_FAIL_AC,TARGET_COMMENT,MISSION_COMMENTS,SOURCE,DATABASE_EDIT_COMMENTS
175390,10711,7/25/1944,PTO,5 AF,USA,,NEW GUINEA,NATOE RIVER,UNIDENTIFIED TARGET,,,,155,13840,-1.916666667,138.6666667,319 BS,B24,B24,1,1,,5,50,5000,30,1000 LB GP (GP-M44/M65),,15,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
176895,10163,7/25/1944,PTO,5 AF,USA,,NEW GUINEA,MISOOL ISLAND,UNIDENTIFIED TARGET,,,,150,13010,-1.833333333,130.1666667,418 BS,B25,B25,10,1,,,,0,,100 LB GP (GP-M30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175388,10014,7/25/1944,PTO,5 AF,USA,,NEW GUINEA,MANOKWARI,AIRDROME,,,,50,13405,-0.833333333,134.0833333,400 BS,B24,B24,1,2,,6,60,6000,36,1000 LB GP (GP-M44/M65),,18,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
175407,24051,7/25/1944,PTO,7 AF,USA,,,JOKAJ ISLAND,GUN POSITIONS,,,,658,15811,6.966666667,158.1833333,820 BS,B25,B25,1,1,,2,45,4500,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
175408,24053,7/25/1944,PTO,7 AF,USA,,,JOKAJ ISLAND,GUN POSITIONS,,,,658,15811,6.966666667,158.1833333,820 BS,B25,B25,1,1,,3,32,3200,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
175409,24050,7/25/1944,PTO,7 AF,USA,,,JOKAJ ISLAND,GUN POSITIONS,,,,658,15811,6.966666667,158.1833333,820 BS,B25,B25,1,1,,3,30,3000,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
175410,24052,7/25/1944,PTO,7 AF,USA,,,JOKAJ ISLAND,GUN POSITIONS,,,,658,15811,6.966666667,158.1833333,820 BS,B25,B25,1,1,,3,35,3500,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
176887,41669,7/25/1944,PTO,13 AF,USA,,CAROLINE ISLANDS,WOLEAI ISLAND,SUPPLY AREA,,,,722,14355,7.366666667,143.9166667,371 BS,B24,B24,1,1,,6,146,160,,100 LB GP (GP-M30),,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
176888,41670,7/25/1944,PTO,13 AF,USA,,CAROLINE ISLANDS,WOLEAI ISLAND,SUPPLY AREA,,,,722,14355,7.366666667,143.9166667,372 BS,B24,B24,1,1,,6,140,160,,100 LB GP (GP-M30),,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
176889,41668,7/25/1944,PTO,13 AF,USA,,CAROLINE ISLANDS,WOLEAI ISLAND,SUPPLY AREA,,,,722,14355,7.366666667,143.9166667,370 BS,B24,B24,1,1,,6,132,160,,100 LB GP (GP-M30),,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
176890,41671,7/25/1944,PTO,13 AF,USA,,CAROLINE ISLANDS,WOLEAI ISLAND,SUPPLY AREA,,,,722,14355,7.366666667,143.9166667,424 BS,B24,B24,1,1,,6,133,140,,100 LB GP (GP-M30),,7,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
176892,41642,7/25/1944,PTO,13 AF,USA,,CAROLINE ISLANDS,WOLEAI ISLAND,ANTI AIRCRAFT BATTER,,,,722,14355,7.366666667,143.9166667,868 BS,B24,B24,1,1,,3,120,100,,100 LB GP (GP-M30),,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
175406,23950,7/25/1944,PTO,7 AF,USA,,CAROLINE ISLANDS,DUBLON ISLAND,WAREHOUSES,,,,,,7.373889,151.872222,27 BS,B24,B24,12,1,,1,96,9600,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
175387,23939,7/25/1944,PTO,7 AF,USA,,CAROLINE ISLANDS,DUBLON ISLAND,TOWN,,,,723,15153,7.383333333,151.8833333,38 BS,B24,B24,1,1,,8,200,20000,96,500 LB GP (GP-M43/M64),,24,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
175405,24114,7/25/1944,PTO,7 AF,USA,,CAROLINE ISLANDS,MOEN,AIRDROME,,,,726,15152,7.433333333,151.8666667,38 BS,B24,B24,1,3,,1,200,20000,12,500 LB GP (GP-M43/M64),,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
175396,25892,7/25/1944,PTO,7 AF,USA,,MARIANAS ISLANDS,TINIAN,JAP POSITIONS,,,,1502,14550,15.03333333,145.8333333,333 FS,P47,P47,10,1,,12,30,3000,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
175397,25825,7/25/1944,PTO,7 AF,USA,,MARIANAS ISLANDS,TINIAN,UNIDENTIFIED TARGET,,,,1502,14550,15.03333333,145.8333333,73 FS,P47,P47,10,1,,12,30,3000,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
175398,25864,7/25/1944,PTO,7 AF,USA,,MARIANAS ISLANDS,TINIAN,R R JUNCTION,,,,1502,14550,15.03333333,145.8333333,333 FS,P47,P47,10,1,,12,20,2000,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
175399,25866,7/25/1944,PTO,7 AF,USA,,MARIANAS ISLANDS,TINIAN,VEHICLES,,,,1502,14550,15.03333333,145.8333333,19 FS,P47,P47,1,1,,12,10,1000,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
175404,25857,7/25/1944,PTO,7 AF,USA,,MARIANAS ISLANDS,TINIAN,SUILDINGS,,,,1502,14550,15.03333333,145.8333333,73 FS,P47,P47,10,1,,16,1,100,16,1000 LB GP (GP-M44/M65),,8,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
176893,25916,7/25/1944,PTO,7 AF,USA,,MARIANAS ISLANDS,TINIAN,TROOP CONCENTRATION,,,,1502,14550,15.03333333,145.8333333,19 FS,P47,P47,1,1,,4,1,,,,,,8,500 LB AUX FUEL TANK INCENDIARY,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
175395,25733,7/25/1944,PTO,7 AF,USA,,MARIANAS ISLANDS,PAGAN ISLAND,AIRFIELD,,,,1808,14547,18.13333333,145.7833333,333 FS,P47,P47,10,1,,12,40,4000,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
176894,53330,7/25/1944,PTO,14 AF,USA,,FRENCH INDO CHINA,THAN MOI,BOX CARS,,,,2133,10631,21.55,106.5166667,26 FS,P40,P40,1,1,,2,5,500,,100 LB GP (GP-M30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175413,51922,7/25/1944,CBI,14 AF,USA,,CHINA,TENGCHUNG,FORTIFIED HILL,,,,2501,9829,25.01666667,98.48333333,25 FS,P40,P40,1,1,,4,,0,8,500 LB GP (GP-M43/M64),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
175401,34742,7/25/1944,CBI,10 AF,USA,,BURMA,MYITKYINA,GUN POSITIONS,,,,2523,9724,25.38333333,97.4,88 FS,P40,P40,10,1,,4,8,800,16,250 LB GP (GP-M57),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
175402,34743,7/25/1944,CBI,10 AF,USA,,BURMA,MYITKYINA,GUN POSITIONS,,,,2523,9724,25.38333333,97.4,88 FS,P40,P40,1,1,,4,8,800,16,250 LB GP (GP-M57),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
175403,34744,7/25/1944,CBI,10 AF,USA,,BURMA,MYITKYINA,GUN POSITIONS,,,,2523,9724,25.38333333,97.4,88 FS,P40,P40,1,1,,4,8,800,16,250 LB GP (GP-M57),,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
175412,34741,7/25/1944,CBI,10 AF,USA,,BURMA,MYITKYINA,GUN POSITIONS,,,,2523,9724,25.38333333,97.4,88 FS,P40,P40,10,1,,3,8,800,8,250 LB GP (GP-M57),,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
176882,48240,7/25/1944,CBI,14 AF,USA,,CHINA,CHALINGS,TOWN,,,,2656,11332,26.93333333,113.5333333,75 FS,P40,P40,10,1,,1,50,,,,,,,,,,0,69 LB FRAG (3X23 CLUSTERS),,,,,,,,,,,,,,,,,,,,,,,,,,
